team,score,attempts_ibox,attempts_obox
Tottenham Hotspur,2,4.0,7.0
Tottenham Hotspur,0,9.0,5.0
Tottenham Hotspur,1,8.0,21.0
Tottenham Hotspur,4,16.0,6.0
Tottenham Hotspur,2,15.0,11.0
Tottenham Hotspur,1,7.0,4.0
Tottenham Hotspur,3,5.0,7.0
Tottenham Hotspur,1,16.0,5.0
Tottenham Hotspur,2,10.0,7.0
Tottenham Hotspur,0,12.0,9.0
Tottenham Hotspur,1,1.0,9.0
Tottenham Hotspur,5,5.0,5.0
Tottenham Hotspur,1,10.0,5.0
Tottenham Hotspur,3,10.0,3.0
Tottenham Hotspur,3,12.0,6.0
Tottenham Hotspur,0,3.0,1.0
Tottenham Hotspur,1,13.0,6.0
Tottenham Hotspur,1,7.0,4.0
Tottenham Hotspur,3,18.0,7.0
Tottenham Hotspur,0,5.0,6.0
Tottenham Hotspur,0,7.0,3.0
Tottenham Hotspur,1,6.0,5.0
Tottenham Hotspur,1,7.0,9.0
Tottenham Hotspur,0,4.0,5.0
Tottenham Hotspur,1,7.0,10.0
Tottenham Hotspur,2,11.0,3.0
Tottenham Hotspur,3,9.0,4.0
Tottenham Hotspur,6,11.0,6.0
Tottenham Hotspur,2,4.0,3.0
Tottenham Hotspur,2,6.0,5.0
Tottenham Hotspur,1,8.0,3.0
Tottenham Hotspur,3,7.0,3.0
Tottenham Hotspur,1,7.0,3.0
Tottenham Hotspur,2,10.0,0.0
Tottenham Hotspur,2,11.0,5.0
Tottenham Hotspur,1,5.0,6.0
Tottenham Hotspur,3,8.0,1.0
Tottenham Hotspur,2,12.0,3.0
