team,score,attempts_ibox,attempts_obox
Brighton and Hove Albion,1,3.0,3.0
Brighton and Hove Albion,1,7.0,2.0
Brighton and Hove Albion,0,7.0,7.0
Brighton and Hove Albion,0,1.0,7.0
Brighton and Hove Albion,0,6.0,8.0
Brighton and Hove Albion,1,8.0,6.0
Brighton and Hove Albion,1,13.0,3.0
Brighton and Hove Albion,0,13.0,8.0
Brighton and Hove Albion,0,5.0,2.0
Brighton and Hove Albion,1,8.0,3.0
Brighton and Hove Albion,1,7.0,5.0
Brighton and Hove Albion,1,3.0,3.0
Brighton and Hove Albion,3,6.0,3.0
Brighton and Hove Albion,1,9.0,5.0
Brighton and Hove Albion,1,5.0,2.0
Brighton and Hove Albion,1,6.0,3.0
Brighton and Hove Albion,1,4.0,4.0
Brighton and Hove Albion,2,12.0,3.0
Brighton and Hove Albion,3,5.0,1.0
Brighton and Hove Albion,1,8.0,3.0
Brighton and Hove Albion,0,3.0,3.0
Brighton and Hove Albion,0,2.0,3.0
Brighton and Hove Albion,0,1.0,2.0
Brighton and Hove Albion,2,1.0,3.0
Brighton and Hove Albion,1,8.0,7.0
Brighton and Hove Albion,2,11.0,4.0
Brighton and Hove Albion,1,5.0,2.0
Brighton and Hove Albion,2,8.0,5.0
Brighton and Hove Albion,0,4.0,6.0
Brighton and Hove Albion,0,8.0,6.0
Brighton and Hove Albion,2,7.0,7.0
Brighton and Hove Albion,1,4.0,3.0
Brighton and Hove Albion,1,3.0,2.0
Brighton and Hove Albion,1,5.0,3.0
Brighton and Hove Albion,0,4.0,0.0
Brighton and Hove Albion,2,8.0,4.0
Brighton and Hove Albion,0,4.0,2.0
Brighton and Hove Albion,0,5.0,1.0
