team,score,attempts_ibox,attempts_obox
Liverpool,2,9.0,4.0
Liverpool,5,14.0,7.0
Liverpool,2,11.0,4.0
Liverpool,2,7.0,7.0
Liverpool,4,13.0,10.0
Liverpool,5,11.0,8.0
Liverpool,3,14.0,6.0
Liverpool,1,7.0,3.0
Liverpool,4,13.0,6.0
Liverpool,5,10.0,5.0
Liverpool,4,13.0,3.0
Liverpool,3,17.0,19.0
Liverpool,1,9.0,7.0
Liverpool,2,10.0,11.0
Liverpool,4,9.0,10.0
Liverpool,0,5.0,2.0
Liverpool,3,9.0,3.0
Liverpool,1,16.0,6.0
Liverpool,4,13.0,5.0
Liverpool,3,10.0,1.0
Liverpool,2,12.0,5.0
Liverpool,3,13.0,4.0
Liverpool,2,11.0,5.0
Liverpool,0,7.0,3.0
Liverpool,0,4.0,3.0
Liverpool,1,7.0,4.0
Liverpool,1,8.0,2.0
Liverpool,1,7.0,0.0
Liverpool,2,9.0,6.0
Liverpool,4,6.0,4.0
Liverpool,3,13.0,5.0
Liverpool,3,7.0,3.0
Liverpool,1,10.0,3.0
Liverpool,1,6.0,5.0
Liverpool,1,7.0,6.0
Liverpool,2,14.0,3.0
Liverpool,2,7.0,3.0
Liverpool,2,9.0,7.0
