team,score,attempts_ibox,attempts_obox
Liverpool,3,0.0,0.0
Liverpool,0,0.0,0.0
Liverpool,1,0.0,0.0
Liverpool,2,0.0,0.0
Liverpool,3,0.0,0.0
Liverpool,2,0.0,0.0
Liverpool,3,0.0,0.0
Liverpool,2,0.0,0.0
Liverpool,1,0.0,0.0
Liverpool,2,0.0,0.0
Liverpool,1,0.0,0.0
Liverpool,4,0.0,0.0
Liverpool,2,0.0,0.0
Liverpool,2,0.0,0.0
Liverpool,6,0.0,0.0
Liverpool,2,0.0,0.0
Liverpool,0,0.0,0.0
Liverpool,5,0.0,0.0
Liverpool,4,0.0,0.0
Liverpool,4,0.0,0.0
Liverpool,1,0.0,0.0
Liverpool,1,0.0,0.0
Liverpool,2,0.0,0.0
Liverpool,1,0.0,0.0
Liverpool,1,0.0,0.0
Liverpool,0,0.0,0.0
Liverpool,1,0.0,0.0
Liverpool,2,0.0,0.0
Liverpool,1,0.0,0.0
Liverpool,3,0.0,0.0
Liverpool,3,0.0,0.0
Liverpool,0,0.0,0.0
Liverpool,4,0.0,0.0
Liverpool,2,0.0,0.0
Liverpool,2,0.0,0.0
Liverpool,1,0.0,0.0
Liverpool,0,0.0,0.0
Liverpool,4,0.0,0.0
