,team1,team2,score1,score2,first_half_goals1,first_half_goals2,rating1,rating2,strategy1,strategy2
0,Fulham,Everton,2,3,1.0,3.0,1.7083333333333357,0.1447368421052655,0,0
4,Crystal Palace,Everton,1,2,1.0,2.0,-0.4144736842105273,0.1447368421052655,0,0
8,Leeds United,Fulham,4,3,2.0,1.0,1.5065789473684248,1.7083333333333357,0,0
17,Leeds United,Tottenham Hotspur,3,1,2.0,1.0,1.5065789473684248,1.2236842105263133,0,0
22,Newcastle United,Tottenham Hotspur,2,2,1.0,2.0,1.4013157894736867,1.2236842105263133,0,0
27,Crystal Palace,Leeds United,4,1,3.0,1.0,-0.4144736842105273,1.5065789473684248,0,0
45,Newcastle United,Crystal Palace,1,2,1.0,2.0,1.4013157894736867,-0.4144736842105273,0,0
54,Newcastle United,Southampton,3,2,3.0,1.0,1.4013157894736867,-0.3508771929824537,0,0
