team,score,attempts_ibox,attempts_obox
Newcastle United,3,6.0,10.0
Newcastle United,0,9.0,8.0
Newcastle United,2,6.0,2.0
Newcastle United,1,10.0,8.0
Newcastle United,3,5.0,2.0
Newcastle United,1,3.0,7.0
Newcastle United,1,9.0,5.0
Newcastle United,1,9.0,3.0
Newcastle United,0,4.0,7.0
Newcastle United,0,3.0,3.0
Newcastle United,0,7.0,9.0
Newcastle United,2,5.0,5.0
Newcastle United,0,8.0,4.0
Newcastle United,0,8.0,8.0
Newcastle United,1,3.0,4.0
Newcastle United,1,2.0,6.0
Newcastle United,2,8.0,6.0
Newcastle United,3,10.0,7.0
Newcastle United,0,6.0,8.0
Newcastle United,0,10.0,4.0
Newcastle United,1,7.0,2.0
Newcastle United,0,5.0,4.0
Newcastle United,2,2.0,6.0
Newcastle United,0,1.0,6.0
Newcastle United,2,7.0,8.0
Newcastle United,1,7.0,5.0
Newcastle United,1,5.0,1.0
Newcastle United,1,10.0,4.0
Newcastle United,3,5.0,6.0
Newcastle United,0,4.0,6.0
Newcastle United,1,3.0,5.0
Newcastle United,2,5.0,9.0
Newcastle United,1,6.0,6.0
Newcastle United,0,4.0,8.0
Newcastle United,2,12.0,7.0
Newcastle United,0,9.0,8.0
Newcastle United,1,7.0,9.0
Newcastle United,0,9.0,4.0
