team,score,attempts_ibox,attempts_obox
Manchester City,3,12.0,7.0
Manchester City,0,9.0,6.0
Manchester City,5,12.0,7.0
Manchester City,2,15.0,5.0
Manchester City,1,9.0,4.0
Manchester City,5,14.0,5.0
Manchester City,3,12.0,7.0
Manchester City,3,13.0,8.0
Manchester City,3,13.0,5.0
Manchester City,4,6.0,8.0
Manchester City,4,16.0,4.0
Manchester City,2,12.0,12.0
Manchester City,2,11.0,15.0
Manchester City,3,7.0,2.0
Manchester City,3,12.0,3.0
Manchester City,7,12.0,8.0
Manchester City,5,21.0,4.0
Manchester City,5,10.0,3.0
Manchester City,1,10.0,9.0
Manchester City,1,6.0,7.0
Manchester City,4,10.0,9.0
Manchester City,3,10.0,7.0
Manchester City,3,10.0,8.0
Manchester City,2,12.0,5.0
Manchester City,3,7.0,2.0
Manchester City,1,10.0,10.0
Manchester City,3,6.0,5.0
Manchester City,0,5.0,10.0
Manchester City,1,12.0,10.0
Manchester City,4,17.0,6.0
Manchester City,2,7.0,7.0
Manchester City,2,10.0,4.0
Manchester City,2,7.0,5.0
Manchester City,3,7.0,8.0
Manchester City,1,12.0,0.0
Manchester City,6,18.0,10.0
Manchester City,2,13.0,6.0
Manchester City,2,6.0,8.0
