team,score,attempts_ibox,attempts_obox
Crystal Palace,2,7.0,4.0
Crystal Palace,5,13.0,2.0
Crystal Palace,3,7.0,8.0
Crystal Palace,1,4.0,2.0
Crystal Palace,2,6.0,4.0
Crystal Palace,0,4.0,1.0
Crystal Palace,1,14.0,6.0
Crystal Palace,1,13.0,4.0
Crystal Palace,0,6.0,4.0
Crystal Palace,2,10.0,6.0
Crystal Palace,2,8.0,6.0
Crystal Palace,2,19.0,5.0
Crystal Palace,2,8.0,2.0
Crystal Palace,2,9.0,7.0
Crystal Palace,2,16.0,4.0
Crystal Palace,2,8.0,6.0
Crystal Palace,0,10.0,4.0
Crystal Palace,0,7.0,9.0
Crystal Palace,0,10.0,4.0
Crystal Palace,2,7.0,6.0
Crystal Palace,0,3.0,3.0
Crystal Palace,2,7.0,6.0
Crystal Palace,2,11.0,7.0
Crystal Palace,1,5.0,4.0
Crystal Palace,1,9.0,7.0
Crystal Palace,1,5.0,4.0
Crystal Palace,1,5.0,4.0
Crystal Palace,2,6.0,5.0
Crystal Palace,1,8.0,5.0
Crystal Palace,3,10.0,3.0
Crystal Palace,0,7.0,3.0
Crystal Palace,0,5.0,5.0
Crystal Palace,0,7.0,4.0
Crystal Palace,0,7.0,3.0
Crystal Palace,0,4.0,2.0
Crystal Palace,0,2.0,3.0
Crystal Palace,0,12.0,11.0
Crystal Palace,0,3.0,1.0
