team,score,attempts_ibox,attempts_obox
Manchester United,1,6.0,5.0
Manchester United,2,4.0,4.0
Manchester United,5,9.0,10.0
Manchester United,3,11.0,4.0
Manchester United,2,8.0,4.0
Manchester United,3,15.0,6.0
Manchester United,0,6.0,10.0
Manchester United,0,11.0,13.0
Manchester United,4,9.0,4.0
Manchester United,4,8.0,14.0
Manchester United,1,9.0,15.0
Manchester United,2,7.0,5.0
Manchester United,2,10.0,6.0
Manchester United,3,12.0,9.0
Manchester United,1,3.0,4.0
Manchester United,1,4.0,12.0
Manchester United,1,4.0,6.0
Manchester United,1,14.0,8.0
Manchester United,4,7.0,4.0
Manchester United,2,7.0,0.0
Manchester United,2,12.0,5.0
Manchester United,3,10.0,4.0
Manchester United,3,7.0,5.0
Manchester United,1,7.0,5.0
Manchester United,1,5.0,9.0
Manchester United,2,7.0,2.0
Manchester United,0,4.0,5.0
Manchester United,0,5.0,5.0
Manchester United,2,6.0,8.0
Manchester United,0,10.0,7.0
Manchester United,2,9.0,2.0
Manchester United,3,7.0,4.0
Manchester United,0,5.0,10.0
Manchester United,3,13.0,8.0
Manchester United,0,7.0,5.0
Manchester United,0,5.0,4.0
Manchester United,1,13.0,8.0
Manchester United,1,5.0,4.0
