team,score,attempts_ibox,attempts_obox
Brighton and Hove Albion,0,8.0,3.0
Brighton and Hove Albion,0,3.0,6.0
Brighton and Hove Albion,1,10.0,2.0
Brighton and Hove Albion,0,5.0,3.0
Brighton and Hove Albion,2,7.0,2.0
Brighton and Hove Albion,0,13.0,10.0
Brighton and Hove Albion,1,7.0,3.0
Brighton and Hove Albion,1,8.0,2.0
Brighton and Hove Albion,1,11.0,5.0
Brighton and Hove Albion,2,7.0,9.0
Brighton and Hove Albion,0,5.0,4.0
Brighton and Hove Albion,2,7.0,6.0
Brighton and Hove Albion,0,5.0,2.0
Brighton and Hove Albion,2,15.0,6.0
Brighton and Hove Albion,3,5.0,3.0
Brighton and Hove Albion,3,10.0,7.0
Brighton and Hove Albion,1,11.0,3.0
Brighton and Hove Albion,0,9.0,3.0
Brighton and Hove Albion,1,12.0,4.0
Brighton and Hove Albion,2,9.0,6.0
Brighton and Hove Albion,1,10.0,0.0
Brighton and Hove Albion,1,6.0,2.0
Brighton and Hove Albion,0,5.0,5.0
Brighton and Hove Albion,0,2.0,5.0
Brighton and Hove Albion,1,6.0,3.0
Brighton and Hove Albion,3,12.0,7.0
Brighton and Hove Albion,1,9.0,12.0
Brighton and Hove Albion,0,7.0,2.0
Brighton and Hove Albion,1,3.0,8.0
Brighton and Hove Albion,1,7.0,8.0
Brighton and Hove Albion,2,15.0,5.0
Brighton and Hove Albion,1,5.0,7.0
Brighton and Hove Albion,1,5.0,1.0
Brighton and Hove Albion,1,11.0,9.0
Brighton and Hove Albion,0,5.0,3.0
Brighton and Hove Albion,0,9.0,7.0
Brighton and Hove Albion,0,5.0,1.0
Brighton and Hove Albion,3,3.0,2.0
