team,score,attempts_ibox,attempts_obox
Arsenal,2,7.0,9.0
Arsenal,3,7.0,8.0
Arsenal,0,9.0,5.0
Arsenal,1,12.0,6.0
Arsenal,0,2.0,1.0
Arsenal,2,6.0,7.0
Arsenal,0,5.0,2.0
Arsenal,4,8.0,5.0
Arsenal,0,8.0,9.0
Arsenal,3,14.0,6.0
Arsenal,0,5.0,6.0
Arsenal,3,12.0,3.0
Arsenal,1,5.0,4.0
Arsenal,0,12.0,6.0
Arsenal,1,10.0,3.0
Arsenal,0,8.0,5.0
Arsenal,0,9.0,3.0
Arsenal,2,5.0,1.0
Arsenal,2,5.0,2.0
Arsenal,3,4.0,2.0
Arsenal,1,3.0,2.0
Arsenal,2,12.0,7.0
Arsenal,3,8.0,6.0
Arsenal,3,9.0,0.0
Arsenal,1,11.0,4.0
Arsenal,3,6.0,6.0
Arsenal,0,10.0,4.0
Arsenal,1,6.0,3.0
Arsenal,3,7.0,2.0
Arsenal,4,17.0,4.0
Arsenal,1,9.0,2.0
Arsenal,1,9.0,4.0
Arsenal,0,6.0,5.0
Arsenal,0,5.0,4.0
Arsenal,1,3.0,4.0
Arsenal,0,7.0,4.0
Arsenal,1,3.0,1.0
Arsenal,3,9.0,4.0
