team,score,attempts_ibox,attempts_obox
Manchester United,1,4.0,9.0
Manchester United,2,13.0,5.0
Manchester United,1,4.0,8.0
Manchester United,3,15.0,2.0
Manchester United,2,9.0,6.0
Manchester United,1,9.0,6.0
Manchester United,3,9.0,6.0
Manchester United,3,9.0,5.0
Manchester United,9,14.0,10.0
Manchester United,1,10.0,6.0
Manchester United,2,12.0,7.0
Manchester United,1,6.0,5.0
Manchester United,6,19.0,7.0
Manchester United,0,7.0,4.0
Manchester United,1,11.0,6.0
Manchester United,0,4.0,4.0
Manchester United,0,7.0,7.0
Manchester United,1,2.0,3.0
Manchester United,1,7.0,10.0
Manchester United,2,6.0,3.0
Manchester United,3,11.0,7.0
Manchester United,0,9.0,7.0
Manchester United,3,9.0,3.0
Manchester United,2,7.0,1.0
Manchester United,0,6.0,5.0
Manchester United,0,2.0,9.0
Manchester United,1,6.0,4.0
Manchester United,0,8.0,6.0
Manchester United,2,10.0,5.0
Manchester United,0,5.0,3.0
Manchester United,1,9.0,4.0
Manchester United,2,8.0,1.0
Manchester United,3,9.0,6.0
Manchester United,3,10.0,5.0
Manchester United,3,10.0,5.0
Manchester United,3,7.0,6.0
Manchester United,4,15.0,13.0
Manchester United,3,6.0,1.0
