team,score,attempts_ibox,attempts_obox
West Bromwich Albion,1,6.0,8.0
West Bromwich Albion,1,7.0,2.0
West Bromwich Albion,1,6.0,4.0
West Bromwich Albion,3,13.0,2.0
West Bromwich Albion,0,8.0,5.0
West Bromwich Albion,0,7.0,4.0
West Bromwich Albion,1,4.0,2.0
West Bromwich Albion,1,6.0,1.0
West Bromwich Albion,2,4.0,1.0
West Bromwich Albion,0,4.0,6.0
West Bromwich Albion,0,4.0,3.0
West Bromwich Albion,0,2.0,2.0
West Bromwich Albion,0,11.0,1.0
West Bromwich Albion,1,7.0,2.0
West Bromwich Albion,1,9.0,8.0
West Bromwich Albion,0,7.0,5.0
West Bromwich Albion,0,8.0,5.0
West Bromwich Albion,3,5.0,4.0
West Bromwich Albion,0,3.0,4.0
West Bromwich Albion,1,7.0,7.0
West Bromwich Albion,1,6.0,6.0
West Bromwich Albion,2,4.0,6.0
West Bromwich Albion,0,2.0,2.0
West Bromwich Albion,5,7.0,7.0
West Bromwich Albion,0,8.0,4.0
West Bromwich Albion,0,3.0,7.0
West Bromwich Albion,0,4.0,0.0
West Bromwich Albion,1,7.0,1.0
West Bromwich Albion,1,2.0,4.0
West Bromwich Albion,3,8.0,4.0
West Bromwich Albion,1,3.0,2.0
West Bromwich Albion,1,3.0,2.0
West Bromwich Albion,1,4.0,9.0
West Bromwich Albion,0,6.0,1.0
West Bromwich Albion,0,6.0,4.0
West Bromwich Albion,1,3.0,6.0
West Bromwich Albion,0,3.0,2.0
West Bromwich Albion,2,2.0,4.0
