team,score,attempts_ibox,attempts_obox
Leicester City,2,6.0,4.0
Leicester City,2,17.0,8.0
Leicester City,2,9.0,4.0
Leicester City,3,8.0,9.0
Leicester City,0,3.0,2.0
Leicester City,5,14.0,5.0
Leicester City,1,6.0,2.0
Leicester City,3,8.0,3.0
Leicester City,1,7.0,11.0
Leicester City,2,5.0,3.0
Leicester City,2,13.0,3.0
Leicester City,2,5.0,5.0
Leicester City,0,5.0,9.0
Leicester City,3,13.0,2.0
Leicester City,1,8.0,8.0
Leicester City,1,6.0,4.0
Leicester City,0,6.0,5.0
Leicester City,0,3.0,1.0
Leicester City,4,11.0,3.0
Leicester City,1,4.0,3.0
Leicester City,2,4.0,0.0
Leicester City,1,13.0,10.0
Leicester City,2,10.0,0.0
Leicester City,2,5.0,3.0
Leicester City,1,8.0,8.0
Leicester City,2,8.0,8.0
Leicester City,0,6.0,7.0
Leicester City,2,7.0,2.0
Leicester City,1,7.0,12.0
Leicester City,2,4.0,5.0
Leicester City,1,9.0,0.0
Leicester City,2,12.0,5.0
Leicester City,2,9.0,4.0
Leicester City,0,7.0,4.0
Leicester City,4,9.0,1.0
Leicester City,1,2.0,4.0
Leicester City,5,4.0,3.0
Leicester City,3,11.0,2.0
