team,score,attempts_ibox,attempts_obox
Aston Villa,2,4.0,2.0
Aston Villa,0,7.0,6.0
Aston Villa,1,5.0,6.0
Aston Villa,2,16.0,8.0
Aston Villa,1,7.0,1.0
Aston Villa,3,7.0,7.0
Aston Villa,0,4.0,4.0
Aston Villa,0,6.0,3.0
Aston Villa,1,6.0,5.0
Aston Villa,1,9.0,3.0
Aston Villa,1,6.0,3.0
Aston Villa,2,9.0,5.0
Aston Villa,3,17.0,3.0
Aston Villa,0,18.0,9.0
Aston Villa,1,8.0,7.0
Aston Villa,3,14.0,5.0
Aston Villa,0,7.0,5.0
Aston Villa,7,13.0,5.0
Aston Villa,1,11.0,7.0
Aston Villa,2,15.0,5.0
Aston Villa,2,12.0,7.0
Aston Villa,2,7.0,6.0
Aston Villa,1,6.0,3.0
Aston Villa,1,7.0,8.0
Aston Villa,0,12.0,4.0
Aston Villa,1,6.0,3.0
Aston Villa,0,1.0,3.0
Aston Villa,1,7.0,1.0
Aston Villa,2,14.0,4.0
Aston Villa,0,6.0,5.0
Aston Villa,1,12.0,3.0
Aston Villa,1,7.0,3.0
Aston Villa,3,0.0,8.0
Aston Villa,1,8.0,5.0
Aston Villa,1,10.0,6.0
Aston Villa,3,14.0,1.0
Aston Villa,1,5.0,5.0
Aston Villa,3,10.0,2.0
