team,score,attempts_ibox,attempts_obox
Fulham,0,8.0,6.0
Fulham,0,12.0,9.0
Fulham,0,9.0,5.0
Fulham,1,11.0,2.0
Fulham,0,3.0,1.0
Fulham,0,7.0,4.0
Fulham,1,7.0,8.0
Fulham,0,13.0,7.0
Fulham,0,4.0,4.0
Fulham,1,8.0,4.0
Fulham,0,7.0,3.0
Fulham,0,7.0,3.0
Fulham,0,7.0,2.0
Fulham,1,6.0,4.0
Fulham,2,7.0,7.0
Fulham,2,6.0,7.0
Fulham,1,10.0,6.0
Fulham,0,11.0,5.0
Fulham,0,1.0,4.0
Fulham,1,5.0,3.0
Fulham,1,7.0,3.0
Fulham,0,5.0,5.0
Fulham,1,2.0,1.0
Fulham,1,8.0,7.0
Fulham,1,9.0,1.0
Fulham,0,8.0,8.0
Fulham,1,5.0,3.0
Fulham,2,8.0,4.0
Fulham,2,8.0,4.0
Fulham,0,8.0,2.0
Fulham,1,10.0,5.0
Fulham,1,6.0,5.0
Fulham,0,4.0,2.0
Fulham,2,7.0,3.0
Fulham,0,7.0,6.0
Fulham,1,9.0,6.0
Fulham,0,6.0,4.0
Fulham,3,7.0,7.0
