team,score,attempts_ibox,attempts_obox
Everton,1,9.0,5.0
Everton,0,12.0,4.0
Everton,1,8.0,8.0
Everton,2,12.0,6.0
Everton,1,11.0,4.0
Everton,1,9.0,5.0
Everton,1,6.0,1.0
Everton,1,3.0,6.0
Everton,0,4.0,3.0
Everton,0,8.0,3.0
Everton,1,5.0,3.0
Everton,0,5.0,5.0
Everton,2,3.0,6.0
Everton,1,8.0,1.0
Everton,0,10.0,5.0
Everton,1,5.0,2.0
Everton,2,6.0,5.0
Everton,4,6.0,5.0
Everton,5,13.0,4.0
Everton,0,4.0,4.0
Everton,0,10.0,5.0
Everton,1,7.0,2.0
Everton,1,4.0,4.0
Everton,0,3.0,5.0
Everton,0,2.0,5.0
Everton,1,5.0,6.0
Everton,2,4.0,5.0
Everton,3,5.0,1.0
Everton,2,6.0,4.0
Everton,2,5.0,0.0
Everton,1,4.0,3.0
Everton,2,9.0,2.0
Everton,1,8.0,5.0
Everton,3,7.0,2.0
Everton,1,9.0,6.0
Everton,0,3.0,3.0
Everton,2,7.0,3.0
Everton,1,10.0,5.0
