team,score,attempts_ibox,attempts_obox
Newcastle United,1,8.0,8.0
Newcastle United,3,10.0,1.0
Newcastle United,0,3.0,2.0
Newcastle United,3,7.0,9.0
Newcastle United,2,17.0,5.0
Newcastle United,1,9.0,3.0
Newcastle United,1,11.0,8.0
Newcastle United,3,4.0,2.0
Newcastle United,1,15.0,6.0
Newcastle United,1,9.0,13.0
Newcastle United,1,5.0,3.0
Newcastle United,0,5.0,3.0
Newcastle United,1,6.0,6.0
Newcastle United,2,9.0,3.0
Newcastle United,0,4.0,4.0
Newcastle United,2,7.0,4.0
Newcastle United,1,3.0,4.0
Newcastle United,3,6.0,4.0
Newcastle United,0,3.0,3.0
Newcastle United,2,5.0,5.0
Newcastle United,4,9.0,5.0
Newcastle United,1,6.0,1.0
Newcastle United,2,10.0,0.0
Newcastle United,0,2.0,1.0
Newcastle United,0,7.0,2.0
Newcastle United,1,3.0,7.0
Newcastle United,0,7.0,3.0
Newcastle United,2,9.0,4.0
Newcastle United,0,6.0,1.0
Newcastle United,0,3.0,1.0
Newcastle United,0,4.0,3.0
Newcastle United,0,4.0,3.0
Newcastle United,2,8.0,2.0
Newcastle United,2,7.0,7.0
Newcastle United,0,3.0,1.0
Newcastle United,1,2.0,3.0
Newcastle United,1,4.0,2.0
Newcastle United,2,10.0,5.0
